21309-在线教育高级交互设计师（深圳）,深圳总部,"1. 负责在线教育产品的交互设计，保证产品的可用性和易用性，为最终的产品体验和效果负责。
2. 参与产品的规划构思与用户研究，归纳用户目标洞察真实需求，能够结合项目制订设计规范，并推动在整个团队中的实施，参与团队的专业化建设，提高团队专业水准。","1、从事设计行业工作3年以上，有丰富的APP、H5、网页等交互设计工作经验，并有成功案例；
2、对交互设计理论有较深的了解和认识，熟练掌握用户研究、交互设计的相关专业知识和技巧，能熟练运用设计工具清晰直观表达设计意图；
3、对互联网产品发展趋势，产品总体规划有深刻的理解，对年轻人喜好或教育类产品有独特见解；
4、良好的口头表达能力和文档撰写能力，有较强的推动力和学习能力，工作有激情、积极主动、关注细节、善于合作；
5、精通Sketch、Axure等，具备较强的AE、动效设计、原型开发能力者优先。"
21309-在线教育—高级后台开发工程师（深圳）,深圳总部,"负责腾讯课堂、企鹅辅导等在线教育产品的后台开发；
负责平台业务的开发和维护；
负责部门相关业务的后台开发及维护。","本科及以上学历，计算机相关专业；
5年以上Unix/Linux下C/C++, Golang 或 JAVA开发经验；
熟悉Unix/Linux操作系统原理、常用工具；
全面并且扎实的软件知识结构（操作系统、软件工程、设计模式、数据结构、数据库系统、网络安全）；
具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力；
好学、责任心强、思维缜密敏捷、良好的对外沟通和团队协作能力；
有海量系统开发经验优先考虑。"
21309-在线教育—PC客户端开发工程师,深圳总部,"- 负责腾讯课堂、企鹅辅导PC客户端的架构设计、开发工作；
- 负责腾讯课堂、企鹅辅导PC客户端的数据分析、监控等工作。","工作要求：
- 计算机或相关专业本科及以上学历,一年以上PC客户端开发相关工作经验；
- 精通windows下C++开发，熟悉VC开发环境，至少做过1个大中型小项目的开发实施；
- 熟悉COM、ATL、MFC；
- 扎实的数据结构/算法基础；
- 较强的代码阅读能力，代码风格良好，能设计出高效、合理、易读、易于扩展的程序结构；
- 具备较强的团队精神、良好的表达和沟通能力，工作认真负责；
- 具有很强的新知识学习能力和错误调试排错能力。"
21309-在线教育—Web前端开发工程师（深圳）,深圳总部,"负责在线教育产品的 Web 全栈架构设计和研发；
负责 IMWeb Team 的开源项目建设和工具研发。","能够熟练运用 HTML5、CSS3、ES6 构建高性能的Web应用程序；
熟悉移动端Web开发或Hybrid开发模式更佳；
理解web标准和兼容性，对可用性相关知识有实际的了解和实践经验；
能够熟练运用至少一款主流的JS框架，具有良好的代码风格、接口设计与程序架构；
掌握至少一门服务器端编程语言，对 OOP 有一定的认识；
思路清晰，具备良好的沟通能力和团队协作精神；"
21309-在线教育—C/C++后台开发工程师（深圳）,深圳总部,"负责腾讯课堂、企鹅辅导等在线教育产品的后台开发；
负责平台业务的开发和维护；
负责部门相关业务的后台开发及维护。","本科以上学历，计算机相关专业；
具备Unix/Linux下C/C++ 2年以上开发经验， 熟悉常用的数据结构、算法，熟练使用STL等标准库；
精通TCP/IP协议，进程间通讯编程，熟悉Unix/Linux下常用架构设计方法；
熟悉Unix/Linux操作系统原理、常用工具， 熟悉Mysql/Oracle等数据库管理、开发,SQL调优；
全面的软件知识结构(操作系统、软件工程、设计模式、数据结构、数据库系统、网络安全)；
具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力；
责任心强,良好的对外沟通和团队协作能力；
有大容量通信系统开发经验者优先。"
21309-在线教育—推荐算法高级工程师（深圳）,深圳总部,"负责腾讯课堂、企鹅辅导等在线教育产品的个性化推荐场景（首页推荐、短视频推荐、搜索推荐等）；
主导产品推荐需求的技术路线调研；
主导推荐算法方案的落地方案预研。","计算机或相关专业本科以上学历，三年以上的互联网工作经验；
熟悉常用的推荐算法，深入理解常见机器学习或数据挖掘算法原理，熟悉常见的统计原理及方法；
有大数据分析工具相关的使用经验，熟悉Hadoop、Spark开发；
良好的数据意识，能结合产品通过数据分析发现有价值信息；
有机器学习系统开发经验优先。
了解深度学习最新进展，熟悉Caffe、Tensorflow、Torch、Theano、MxNet等其中一种框架优先考虑。"
29910-高级UI设计师（深圳）,深圳,"负责为内容平台相关产品进行视觉设计，以用户体验为基础，通过视觉设计给以产品赋予情感化、同时满足易用性的产品体验； 
负责为互联网内容产品与新功能提供用户界面的设计，跟进方案实现与用户反馈； 
负责为日常的平台活动及功能维护提供设计支持； 
参与前瞻性产品的创意设计和动态DEMO的实现。","本科或以上学历，人机交互、工业设计、多媒体、视觉传达等相关专业；
3年以上移动设计的工作经验，并且有完整线上案例；
有较深的设计理论与娴熟的设计技巧、拥有宽广的行业视野如平面设计、UI设计。对互联网发展趋势，行业动态有较为深入的见解；
富有激情、积极主动、关注细节、学习能力强，熟练掌握sketch，Photoshop，有建模与动画能力更佳； 
良好的口头表达能力和文档撰写能力、有较强的推动能力，工作有激情、积极主动、善于合作，英文能力强者更加。"
21482-王者荣耀职业电竞联盟经理,深圳,"1、负责梳理完善王者荣耀职业电竞联盟各项规章制度，包括对联盟已有规则的回顾完善，以及对后续规则设定的合理性评估；
2、负责王者荣耀职业电竞联盟各项法律相关业务支持；
3、KPL联盟管理及俱乐部赋能相关工作 ；
4、KPL海外联盟、王者模拟战联盟搭建及管理相关工作。",1、3年以上工作经验，具备法律专业背景；2、对游戏、电竞有了解，以及热爱；3、有电竞或传统体育相关从业经验者优先；4、具备优秀的逻辑分析能力、学习能力，沟通能力。
WXG03-小程序基础能力产品策划,广州,"负责小程序基础能力建设，包括接口和组件的设计等，能够独立完成产品设计、功能优化和项目推进；
从功能场景出发，负责梳理并完善小程序各细分场景下的通用产品解决方案，包括多媒体解决方案、硬件场景解决方案等，能够独立进行行业研究，产品分析，并根据分析结果设计可行方案；
3跟进用户反馈功能，对需求进行梳理、拆解、沉淀，并协同各行业伙伴对开发者进行引导、教育，为用户构建更优的小程序生态。","2年以上互联网产品经验，有较强的逻辑思维能力，技术背景优先；
对数据敏感，擅长通过数据指导产品方向，有数据分析能力优先。"
30620-腾讯广告微信广告策略产品经理(深圳）,深圳,"1、负责微信广告推荐策略设计工作：优化流量分配，提高流量转化效率，维护朋友圈和公众号生态健康；为一系列用户和环境场景的组合找到合适的投放策略。 
2、根据不同的广告形态或推广目标提供策略解决方案；推动广告推荐系统的精准度提升；将业务运营过程中遇到的问题抽象成算法可实现的需求，配合算法工程师做好算法评测和功能设计工作，并协调资源推动需求上线。 
3、用户在不同的时间和场景下适合收怎样的广告；如何基于微信社交关系链探索社交推荐玩法；如何使流量在不同的售卖方式和推广目标的分配中实现平衡…
如果你对这些问题感兴趣，欢迎来和微信广告的同学交流，我们期待和你一起，在广告行业里做些改变。","1、出色的数据和逻辑分析能力，能快速学习数据分析工具的使用方法。 
2、理解广告推荐系统背后的逻辑，了解主流平台的商业模式；对机器学习的常用算法有一定了解。 
3、优秀的产品设计和项目管理能力，能独立完成跨团队、跨职能的沟通协调工作 ，能快速解决合作中遇到的挑战。"
